title,year_aired,status,episodes,image_url,profile_url,studio,source,theme,demographic,ratings,fanbase
Goblin Slayer,2018,Finished,12,https://cdn.myanimelist.net/images/anime/1719/95621.jpg,https://myanimelist.net/anime/37349/Goblin_Slayer,White Fox,Light novel,Gore,,7.42,1.2M
Nanatsu no Taizai: Imashime no Fukkatsu,2018,Finished,24,https://cdn.myanimelist.net/images/anime/11/90089.jpg,https://myanimelist.net/anime/34577/Nanatsu_no_Taizai__Imashime_no_Fukkatsu,A-1 Pictures,Manga,Shounen,,7.54,1.2M
Fate/Zero 2nd Season,2012,Finished,12,https://cdn.myanimelist.net/images/anime/1522/117645.jpg,https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season,ufotable,Light novel,Urban Fantasy,,8.54,1.2M
Jujutsu Kaisen 0 Movie,2021,Finished,1,https://cdn.myanimelist.net/images/anime/1121/119044.jpg,https://myanimelist.net/anime/48561/Jujutsu_Kaisen_0_Movie,MAPPA,Manga,School,Shounen,8.39,1.2M
Log Horizon,2013,Finished,25,https://cdn.myanimelist.net/images/anime/5/84004.jpg,https://myanimelist.net/anime/17265/Log_Horizon,Satelight,Light novel,"Adult Cast,Video Game",,7.90,1.2M
Fate/stay night: Unlimited Blade Works,2014,Finished,12,https://cdn.myanimelist.net/images/anime/12/67333.jpg,https://myanimelist.net/anime/22297/Fate_stay_night__Unlimited_Blade_Works,ufotable,Visual novel,Urban Fantasy,,8.18,1.2M
Gintama,2006,Finished,201,https://cdn.myanimelist.net/images/anime/10/73274.jpg,https://myanimelist.net/anime/918/Gintama,Sunrise,Manga,"Gag Humor,Historical,Parody,Samurai",Shounen,8.93,1.1M
Mahouka Koukou no Rettousei,2014,Finished,26,https://cdn.myanimelist.net/images/anime/11/61039.jpg,https://myanimelist.net/anime/20785/Mahouka_Koukou_no_Rettousei,Madhouse,Light novel,"School,Urban Fantasy",,7.37,1.1M
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,2018,Finished,39,https://cdn.myanimelist.net/images/anime/1882/94989.jpg,https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze,David Production,Manga,"Organized Crime,Super Power",Shounen,8.58,1.1M
Sword Art Online: Alicization,2018,Finished,24,https://cdn.myanimelist.net/images/anime/1993/93837.jpg,https://myanimelist.net/anime/36474/Sword_Art_Online__Alicization,A-1 Pictures,Light novel,Video Game,,7.57,1.1M
Dragon Ball,1986,Finished,153,https://cdn.myanimelist.net/images/anime/1887/92364.jpg,https://myanimelist.net/anime/223/Dragon_Ball,Toei Animation,Manga,Martial Arts,Shounen,7.98,1.1M
Overlord II,2018,Finished,13,https://cdn.myanimelist.net/images/anime/1212/113415.jpg,https://myanimelist.net/anime/35073/Overlord_II,Madhouse,Light novel,Isekai,,7.75,1.1M
Magi: The Labyrinth of Magic,2012,Finished,25,https://cdn.myanimelist.net/images/anime/11/42773.jpg,https://myanimelist.net/anime/14513/Magi__The_Labyrinth_of_Magic,A-1 Pictures,Manga,Shounen,,8.01,1.1M
Date A Live,2013,Finished,12,https://cdn.myanimelist.net/images/anime/13/44844.jpg,https://myanimelist.net/anime/15583/Date_A_Live,AIC PLUS+,Light novel,"Harem,School,Urban Fantasy",,7.14,1.1M
Black Lagoon,2006,Finished,12,https://cdn.myanimelist.net/images/anime/1906/121592.jpg,https://myanimelist.net/anime/889/Black_Lagoon,Madhouse,Manga,"Adult Cast,Organized Crime",Seinen,8.03,1.1M
Spy x Family Part 2,2022,Finished,13,https://cdn.myanimelist.net/images/anime/1111/127508.jpg,https://myanimelist.net/anime/50602/Spy_x_Family_Part_2,CloverWorks,Manga,"Childcare,Super Power",Shounen,8.21,1.1M
Tensei shitara Slime Datta Ken 2nd Season,2021,Finished,12,https://cdn.myanimelist.net/images/anime/1271/109841.jpg,https://myanimelist.net/anime/39551/Tensei_shitara_Slime_Datta_Ken_2nd_Season,8bit,Manga,"Isekai,Reincarnation",Shounen,8.35,1.1M
Fairy Tail (2014),2014,Finished,102,https://cdn.myanimelist.net/images/anime/3/60551.jpg,https://myanimelist.net/anime/22043/Fairy_Tail_2014,A-1 Pictures,Manga,Shounen,,7.66,1.1M
Kimetsu no Yaiba: Katanakaji no Sato-hen,2023,Finished,11,https://cdn.myanimelist.net/images/anime/1765/135099.jpg,https://myanimelist.net/anime/51019/Kimetsu_no_Yaiba__Katanakaji_no_Sato-hen,ufotable,Manga,Historical,Shounen,8.17,1.1M
Ore dake Level Up na Ken,2024,Finished,12,https://cdn.myanimelist.net/images/anime/1801/142390.jpg,https://myanimelist.net/anime/52299/Ore_dake_Level_Up_na_Ken,A-1 Pictures,Web manga,"Adult Cast,Urban Fantasy",,8.22,1.0M
Kami no Tou,2020,Finished,13,https://cdn.myanimelist.net/images/anime/1702/106229.jpg,https://myanimelist.net/anime/40221/Kami_no_Tou,Telecom Animation Film,Web manga,,,7.56,1.0M
Rakudai Kishi no Cavalry,2015,Finished,12,https://cdn.myanimelist.net/images/anime/9/76493.jpg,https://myanimelist.net/anime/30296/Rakudai_Kishi_no_Cavalry,Nexus,Light novel,"School,Urban Fantasy",,7.41,1.0M
Youjo Senki,2017,Finished,12,https://cdn.myanimelist.net/images/anime/5/82890.jpg,https://myanimelist.net/anime/32615/Youjo_Senki,Nut,Light novel,"Isekai,Military,Reincarnation",,7.96,1.0M
Hellsing Ultimate,2006,Finished,10,https://cdn.myanimelist.net/images/anime/1012/143965.jpg,https://myanimelist.net/anime/777/Hellsing_Ultimate,Graphinica,Manga,"Adult Cast,Gore,Military,Vampire",Seinen,8.34,997K
Darker than Black: Kuro no Keiyakusha,2007,Finished,25,https://cdn.myanimelist.net/images/anime/5/19570.jpg,https://myanimelist.net/anime/2025/Darker_than_Black__Kuro_no_Keiyakusha,Bones,Original,Super Power,,8.04,993K
